rank,exception_class,class_label,customer_id,customer_name,billing_period,amount_billed,priority_score,impact_score,confidence_score,recency_score,repeat_score,note,priority,recommended_action
23,Class4_InvoiceDrift,Invoice Drift,ATC-00081,Kestrel Insurance Network,2024-04,"57,531.64",42.5,11,75,100,0,"Billed 22.1% under expected. Check for overage, credit, or billing error.",MEDIUM,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
24,Class2_StaleContract,Stale Contract,ATC-00106,Jasper Policy Services,2024-04,"19,684.84",42.2,4,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
25,Class4_InvoiceDrift,Invoice Drift,ATC-00004,Pioneer Benefits Co.,2024-04,"51,249.15",42.0,10,75,100,0,"Billed 30.5% under expected. Check for overage, credit, or billing error.",HIGH,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
26,Class2_StaleContract,Stale Contract,ATC-00048,Driftwood Annuity Group,2024-04,"5,502.87",41.0,1,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
27,Class2_StaleContract,Stale Contract,ATC-00023,Eastbrook Policy Services,2024-04,"3,331.52",40.8,1,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
28,Class2_StaleContract,Stale Contract,ATC-00033,Oakdale Benefits Group,2024-04,"1,204.13",40.6,0,85,100,0,Contract expired — renegotiation may unlock higher rates.,MEDIUM,"Contract has expired. Confirm with the account owner whether to renew, renegotiate at current rates, or stop billing."
29,Class5_NameDrift,Name Drift,ATC-00012,Ironbridge Benefit,2024-04,,39.5,0,65,100,50,Billing name 'Ironbridge Benefit' differs from contract name 'Ironbridge Benefits' (similarity 97%). Confirm these are the same customer.,LOW,Customer name differs between billing and contract records. Standardize the name across CRM and billing systems to prevent future matching failures.
30,Class4_InvoiceDrift,Invoice Drift,ATC-00066,Vineyard Life Systems,2024-04,"18,188.09",39.1,4,75,100,0,"Billed 30.6% under expected. Check for overage, credit, or billing error.",HIGH,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
31,Class4_InvoiceDrift,Invoice Drift,ATC-00053,Ironwood Policy Advisors,2024-04,"16,763.33",38.9,3,75,100,0,"Billed 28.2% over expected. Check for overage, credit, or billing error.",HIGH,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
32,Class4_InvoiceDrift,Invoice Drift,ATC-00068,Xenon Policy Partners,2024-04,"6,870.58",38.1,1,75,100,0,"Billed 19.7% over expected. Check for overage, credit, or billing error.",MEDIUM,"Invoice amount deviates from expected. Reconcile against contract terms and check for missed overage reporting, credits, or manual adjustments."
33,Class3_BaseQtyZero,Base Qty = 0,ATC-00115,Sedgwick Insurance Services,,,35.1,0,92,50,0,base_quantity = 0 means every transaction bills at overage rate. Confirm this is intentional — may be a data entry error.,HIGH,Base quantity is 0 — every transaction bills at overage rate with no included volume. Confirm this is intentional or correct the contract entry.
34,Class3_BaseQtyZero,Base Qty = 0,ATC-00095,Yellowrock Mutual Services,,,35.1,0,92,50,0,base_quantity = 0 means every transaction bills at overage rate. Confirm this is intentional — may be a data entry error.,HIGH,Base quantity is 0 — every transaction bills at overage rate with no included volume. Confirm this is intentional or correct the contract entry.
35,Class5_NameDrift,Name Drift,ATC-00007,Atlas Brokerage,2024-04,,34.5,0,65,100,0,Billing name 'Atlas Brokerage' differs from contract name 'Atlas Brokerage Network' (similarity 79%). Confirm these are the same customer.,LOW,Customer name differs between billing and contract records. Standardize the name across CRM and billing systems to prevent future matching failures.
36,Class5_NameDrift,Name Drift,ATC-00008,Meridian Life Casualty,2024-04,,34.5,0,65,100,0,Billing name 'Meridian Life Casualty' differs from contract name 'Meridian Life & Casualty' (similarity 96%). Confirm these are the same customer.,LOW,Customer name differs between billing and contract records. Standardize the name across CRM and billing systems to prevent future matching failures.
37,Class5_NameDrift,Name Drift,ATC-00009,Meridian Life Casualty,2024-04,,34.5,0,65,100,0,Billing name 'Meridian Life Casualty' differs from contract name 'Meridian Life & Casualty' (similarity 96%). Confirm these are the same customer.,LOW,Customer name differs between billing and contract records. Standardize the name across CRM and billing systems to prevent future matching failures.
38,Class5_NameDrift,Name Drift,ATC-00011,Crestview Insurance,2024-04,,34.5,0,65,100,0,Billing name 'Crestview Insurance' differs from contract name 'Crestview Insurance Partners' (similarity 81%). Confirm these are the same customer.,LOW,Customer name differs between billing and contract records. Standardize the name across CRM and billing systems to prevent future matching failures.
